region,var_name,value
Australia above 500m,CMIA,96.30477427
New Zealand and Islands South,MAT,9.766111265
New Zealand and Islands South,MTCO,4.55666674
New Zealand and Islands South,MTWA,15.05333354
New Zealand and Islands South,MAP,1974.266701
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,10.24305573
Australia Tasmania,MTCO,6.406666756
Australia Tasmania,MTWA,14.83333362
Australia Tasmania,MAP,804.3933464
Australia Tasmania,CMIA,96.01314447
Australia east coast,MAT,17.08388919
Australia east coast,MTCO,10.57333358
Australia east coast,MTWA,22.93333365
Australia east coast,MAP,958.946684
Australia east coast,CMIA,95.69110552
Australia south coast,MAT,13.99138913
Australia south coast,MTCO,10.23333356
Australia south coast,MTWA,18.08666693
Australia south coast,MAP,756.7233451
Australia south coast,CMIA,95.41223783
Australia arid,MAT,17.02750032
Australia arid,MTCO,9.023333454
Australia arid,MTWA,24.99000041
Australia arid,MAP,389.4866738
Australia arid,CMIA,88.46082984
Australia above 500m,MAT,12.09611133
Australia above 500m,MTCO,4.490000089
Australia above 500m,MTWA,19.8733338
Australia above 500m,MAP,841.2200156
Australia above 500m,CMIA,94.13403748
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,9.603889049
Australia Tasmania,MTCO,6.093333435
Australia Tasmania,MTWA,13.5366669
Australia Tasmania,MAP,1343.766689
Australia Tasmania,CMIA,97.46969359
Australia east coast,MAT,17.08388919
Australia east coast,MTCO,10.57333358
Australia east coast,MTWA,22.93333365
Australia east coast,MAP,958.946684
Australia east coast,CMIA,95.69110552
Australia south coast,MAT,13.99138913
Australia south coast,MTCO,10.23333356
Australia south coast,MTWA,18.08666693
Australia south coast,MAP,756.7233451
Australia south coast,CMIA,95.41223783
Australia arid,MAT,20.17222258
Australia arid,MTCO,11.47666696
Australia arid,MTWA,28.4233338
Australia arid,MAP,462.2066728
Australia arid,CMIA,87.92170886
Australia above 500m,MAT,8.745555684
Australia above 500m,MTCO,1.54333337
Australia above 500m,MTWA,16.05000025
Australia above 500m,MAP,1119.823353
Australia above 500m,CMIA,94.90660391
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,8.476111248
Australia Tasmania,MTCO,4.100000103
Australia Tasmania,MTWA,13.4200002
Australia Tasmania,MAP,1414.573357
Australia Tasmania,CMIA,97.66833728
Australia east coast,MAT,16.47250034
Australia east coast,MTCO,9.780000178
