MAT,MTCO,MTWA,MAP
25.20111147,24.80000051,25.50333385,2656.880047
26.78555592,26.3733338,27.14333369,3028.103385
26.13388922,21.76666698,28.67333355,1752.433364
26.98722263,22.65333366,29.7666673,1641.56003
27.15388926,22.85333379,30.06666692,1479.413357
27.22555591,22.9600001,30.2633337,1329.010021
27.45166704,23.15666707,30.56000036,1263.123356
27.65388928,23.57000039,30.66000042,1265.713359
27.76361153,23.81333383,30.66000035,1253.123355
27.6752781,24.12000033,30.36666698,1237.423354
27.76916704,24.52000033,30.36666698,1239.21002
28.14916703,25.2133337,30.61666698,1278.756691
27.9175004,25.51333364,30.02000058,1373.503364
27.42666704,25.54000028,29.25000038,2153.983373
25.83805598,24.64666704,27.3566672,3057.020053
26.05000033,25.1966671,27.4800003,3688.330069
27.38694487,26.4833339,28.79333381,3714.616726
27.75027817,26.09000034,29.45000044,1937.4167
27.29694484,26.27333368,28.20666714,2226.550037
26.29305601,25.16333396,27.31000048,2782.513379
26.09527811,24.97000027,27.02000039,2889.943381
26.23611153,24.96666686,27.24000053,2890.186713
26.47611153,25.48333359,27.27666708,2711.686718
26.16083371,25.3766667,26.88666693,2591.266716
26.21638926,25.48333359,26.89000034,2531.690049
27.12888926,26.28333359,27.79000034,2488.936716
27.66250034,26.99666697,28.30000032,2449.946709
27.84000042,27.20000076,28.49000022,2466.510049
27.49000036,27.01000035,28.00000025,2313.346703
27.56722262,27.11666705,28.00000025,2423.75671
27.66833373,27.21000042,28.11333389,2612.510041
27.58277818,27.10000038,28.12000052,2550.103371
27.63472262,27.09333369,28.11000048,2771.893375
27.56138928,26.96000023,28.0033336,2637.160047
27.5494448,26.93666693,27.98333371,2443.010043
27.38138928,26.82666727,27.84333362,2975.163383
26.21611147,25.72333368,26.60333366,2529.253375
24.08305595,23.70333385,24.44333369,3265.180059
26.8258337,26.38000049,27.14333375,3368.676728
26.3363893,21.87000033,28.77333374,1826.660033
26.76527812,22.45,29.46000035,1727.753364
26.69527811,22.35333379,29.56666692,1538.180028
